Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
247,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,26-291,1994,11.4,0,5,1,20.0,0.44,0.09,0.00,0.00,12.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
248,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,27-123,1993,16.1,2,14,3,21.4,0.87,0.19,0.14,0.67,9.4,0,0,0,0.9,0.9,0.07,+1.1,+1.1,Matches
249,Maxime Le Marchand\Maxime-Le-Marchand,fr FRA,DF,Fulham,31-154,1989,1.4,0,1,0,0.0,0.73,0.00,0.00,,33.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
250,Mario Lemina\Mario-Lemina,ga GAB,MF,Fulham,27-194,1993,12.2,1,12,2,16.7,0.99,0.16,0.08,0.50,22.5,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches
251,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,29-010,1992,25.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
252,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Newcastle Utd,23-048,1998,20.3,0,3,1,33.3,0.15,0.05,0.00,0.00,18.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
254,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,West Ham,28-089,1992,5.8,4,18,10,55.6,3.09,1.71,0.22,0.40,19.3,0,0,1,2.3,1.3,0.08,+1.7,+2.7,Matches
255,Jake Livermore\Jake-Livermore,eng ENG,MF,West Brom,31-120,1989,13.6,0,5,0,0.0,0.37,0.00,0.00,,19.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
256,Diego Llorente\Diego-Llorente,es ESP,DF,Leeds United,27-210,1993,5.0,0,4,2,50.0,0.80,0.40,0.00,0.00,11.5,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
257,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,34-078,1986,27.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
258,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MFFW,Tottenham,24-339,1996,4.9,1,9,5,55.6,1.85,1.03,0.11,0.20,16.4,1,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
259,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,FW,Chelsea,25-050,1996,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
260,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Fulham,25-050,1996,18.1,1,32,8,25.0,1.76,0.44,0.03,0.13,15.5,0,0,0,2.8,2.8,0.09,-1.8,-1.8,Matches
261,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,30-208,1990,7.1,0,2,0,0.0,0.28,0.00,0.00,,8.3,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches
262,Shane Long\Shane-Long,ie IRL,FWMF,Southampton,34-051,1987,2.3,0,2,1,50.0,0.86,0.43,0.00,0.00,19.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
263,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,20-358,2000,4.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
264,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,23-135,1997,9.2,0,8,4,50.0,0.87,0.44,0.00,0.00,21.1,1,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
265,Ademola Lookman\Ademola-Lookman,eng ENG,FWMF,Fulham,23-145,1997,24.3,4,57,19,33.3,2.35,0.78,0.07,0.21,17.6,3,0,1,4.7,3.9,0.07,-0.7,+0.1,Matches
266,Max Lowe\Max-Lowe,eng ENG,DF,Sheffield Utd,23-307,1997,6.1,0,2,1,50.0,0.33,0.16,0.00,0.00,23.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
267,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,31-278,1989,25.0,1,13,2,15.4,0.52,0.08,0.08,0.50,23.3,0,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches
268,David Luiz\David-Luiz,br BRA,DF,Arsenal,33-326,1987,12.9,1,12,1,8.3,0.93,0.08,0.08,1.00,18.4,3,0,0,0.8,0.8,0.07,+0.2,+0.2,Matches
269,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,22-309,1998,22.3,0,21,6,28.6,0.94,0.27,0.00,0.00,24.1,1,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches
270,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,27-024,1994,19.3,0,19,4,21.1,0.98,0.21,0.00,0.00,23.2,1,0,1,2.0,1.3,0.07,-2.0,-1.3,Matches
271,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,22-080,1998,9.0,1,21,3,14.3,2.32,0.33,0.05,0.33,20.4,1,0,0,0.9,0.9,0.04,+0.1,+0.1,Matches
