Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
446,Alex Telles\Alex-Telles,br BRA,DF,Manchester Utd,28-089,1992,5.7,0,4,1,25.0,0.71,0.18,0.00,0.00,22.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
447,Kenny Tete\Kenny-Tete,nl NED,DF,Fulham,25-156,1995,11.6,0,3,0,0.0,0.26,0.00,0.00,,15.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
448,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,19-277,2001,4.5,0,3,1,33.3,0.67,0.22,0.00,0.00,18.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
449,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,23-311,1997,27.3,6,31,14,45.2,1.14,0.51,0.13,0.29,22.7,2,2,2,3.5,2.0,0.06,+2.5,+2.0,Matches
450,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,23-282,1997,19.9,1,12,3,25.0,0.60,0.15,0.08,0.33,24.7,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
451,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,31-350,1989,4.3,0,1,0,0.0,0.23,0.00,0.00,,5.1,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
452,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,23-085,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
454,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,29-280,1991,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
455,Andros Townsend\Andros-Townsend,eng ENG,MFFW,Crystal Palace,29-241,1991,20.1,1,24,7,29.2,1.20,0.35,0.04,0.14,20.9,1,0,0,1.6,1.6,0.07,-0.6,-0.6,Matches
456,Conor Townsend\Conor-Townsend,eng ENG,DF,West Brom,28-010,1993,15.8,0,6,2,33.3,0.38,0.13,0.00,0.00,17.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
457,Adama Traoré\Adama-Traore,es ESP,FWDF,Wolves,25-048,1996,20.8,0,23,5,21.7,1.11,0.24,0.00,0.00,20.6,0,0,0,1.1,1.1,0.05,-1.1,-1.1,Matches
460,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,26-100,1994,20.3,2,41,15,36.6,2.02,0.74,0.05,0.13,17.0,1,0,0,3.8,3.8,0.09,-1.8,-1.8,Matches
461,Kostas Tsimikas\Kostas-Tsimikas,gr GRE,DF,Liverpool,24-306,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
462,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,23-120,1997,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
464,Yan Valery\Yan-Valery,fr FRA,DFMF,Southampton,22-020,1999,1.1,0,2,0,0.0,1.75,0.00,0.00,,25.8,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches
465,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,34-062,1987,21.7,12,50,19,38.0,2.30,0.87,0.12,0.32,13.5,0,6,7,14.9,9.5,0.19,-2.9,-3.5,Matches
467,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,28-223,1992,19.5,3,17,8,47.1,0.87,0.41,0.18,0.38,10.4,0,0,0,1.8,1.8,0.11,+1.2,+1.2,Matches
469,Carlos Vinícius\Carlos-Vinicius,br BRA,FW,Tottenham,25-354,1995,1.9,0,5,3,60.0,2.60,1.56,0.00,0.00,11.1,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
471,Vitinha\Vitinha,pt POR,MF,Wolves,21-029,2000,2.6,0,4,1,25.0,1.55,0.39,0.00,0.00,18.5,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
472,Jake Vokins\Jake-Vokins,eng ENG,DF,Southampton,20-362,2000,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
474,Theo Walcott\Theo-Walcott,eng ENG,MFFW,Southampton,31-363,1989,13.7,2,24,9,37.5,1.75,0.66,0.08,0.22,19.9,0,0,0,2.6,2.6,0.11,-0.6,-0.6,Matches
475,Theo Walcott\Theo-Walcott,eng ENG,FW,Everton,31-363,1989,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
476,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,30-290,1990,17.6,1,9,3,33.3,0.51,0.17,0.11,0.33,28.6,0,0,0,0.2,0.2,0.02,+0.8,+0.8,Matches
477,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,23-335,1997,19.8,0,8,3,37.5,0.40,0.15,0.00,0.00,20.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
478,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,23-108,1997,26.0,2,7,3,42.9,0.27,0.12,0.29,0.67,15.9,0,0,0,0.8,0.8,0.12,+1.2,+1.2,Matches
479,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,31-136,1989,16.1,0,1,0,0.0,0.06,0.00,0.00,,25.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
480,James Ward-Prowse\James-Ward-Prowse,eng ENG,MF,Southampton,26-133,1994,28.0,7,27,15,55.6,0.96,0.54,0.19,0.33,25.2,15,2,2,3.0,1.5,0.05,+4.0,+3.5,Matches
481,Ollie Watkins\Ollie-Watkins,eng ENG,FW,Aston Villa,25-074,1995,27.0,10,75,32,42.7,2.78,1.19,0.12,0.28,12.8,0,1,2,12.0,10.5,0.14,-2.0,-1.5,Matches
482,Caleb Watts\Caleb-Watts,au AUS,MFFW,Southampton,19-057,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
483,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,26-069,1995,21.8,0,20,5,25.0,0.92,0.23,0.00,0.00,13.2,0,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
484,Danny Welbeck\Danny-Welbeck,eng ENG,FW,Brighton,30-108,1990,8.3,2,19,8,42.1,2.29,0.96,0.11,0.25,12.7,0,0,1,4.4,3.6,0.19,-2.4,-1.6,Matches
485,Timo Werner\Timo-Werner,de GER,FW,Chelsea,25-008,1996,22.7,5,63,25,39.7,2.78,1.10,0.08,0.20,13.8,0,0,0,9.9,9.9,0.16,-4.9,-4.9,Matches
486,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,30-347,1990,28.9,1,11,4,36.4,0.38,0.14,0.09,0.25,22.4,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
487,Ben White\Ben-White,eng ENG,DFMF,Brighton,23-157,1997,25.5,0,6,0,0.0,0.24,0.00,0.00,,17.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
488,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,30-123,1990,25.3,2,23,8,34.8,0.91,0.32,0.09,0.25,16.6,1,0,0,2.7,2.7,0.12,-0.7,-0.7,Matches
489,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,20-192,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
490,Neco Williams\Neco-Williams,wal WAL,DF,Liverpool,19-335,2001,2.8,0,2,0,0.0,0.73,0.00,0.00,,17.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
491,Rhys Williams\Rhys-Williams,eng ENG,DF,Liverpool,20-039,2001,2.3,0,1,0,0.0,0.43,0.00,0.00,,10.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
492,Willian\Willian,br BRA,FWMF,Arsenal,32-217,1988,13.1,0,17,2,11.8,1.29,0.15,0.00,0.00,17.1,3,0,0,1.9,1.9,0.11,-1.9,-1.9,Matches
493,Joe Willock\Joe-Willock,eng ENG,MF,Arsenal,21-206,1999,2.6,0,4,0,0.0,1.51,0.00,0.00,,10.3,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
494,Joe Willock\Joe-Willock,eng ENG,MF,Newcastle Utd,21-206,1999,5.9,1,5,4,80.0,0.85,0.68,0.20,0.25,11.1,0,0,0,0.9,0.9,0.17,+0.1,+0.1,Matches
495,Callum Wilson\Callum-Wilson,eng ENG,FW,Newcastle Utd,29-015,1992,20.1,10,36,12,33.3,1.79,0.60,0.17,0.50,12.5,0,4,4,9.5,6.5,0.18,+0.5,-0.5,Matches
496,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,25-040,1996,7.1,0,3,1,33.3,0.42,0.14,0.00,0.00,29.6,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
497,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,29-097,1991,21.9,6,39,25,64.1,1.78,1.14,0.15,0.24,11.7,0,0,0,7.7,7.7,0.20,-1.7,-1.7,Matches
498,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,28-168,1992,21.1,1,14,4,28.6,0.66,0.19,0.07,0.25,24.1,6,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches
499,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,FWMF,West Ham,31-142,1989,4.0,0,7,2,28.6,1.76,0.50,0.00,0.00,19.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
500,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,27-248,1993,4.8,0,2,0,0.0,0.41,0.00,0.00,,23.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
501,Okay Yokuşlu\Okay-Yokuslu,tr TUR,MF,West Brom,27-005,1994,5.9,0,5,0,0.0,0.85,0.00,0.00,,24.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
502,Wilfried Zaha\Wilfried-Zaha,ci CIV,FW,Crystal Palace,28-124,1992,20.0,9,44,14,31.8,2.20,0.70,0.16,0.50,16.3,0,2,2,6.0,4.5,0.10,+3.0,+2.5,Matches
503,Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,cm CMR,MF,Fulham,25-118,1995,22.2,0,23,5,21.7,1.03,0.22,0.00,0.00,22.5,0,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches
504,Andi Zeqiri\Andi-Zeqiri,ch SUI,FWDF,Brighton,21-265,1999,0.8,0,5,0,0.0,6.62,0.00,0.00,,12.9,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
505,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,24-089,1996,12.0,0,10,3,30.0,0.83,0.25,0.00,0.00,21.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
506,Hakim Ziyech\Hakim-Ziyech,ma MAR,FWMF,Chelsea,27-360,1993,9.5,1,25,8,32.0,2.63,0.84,0.04,0.13,21.7,0,0,0,1.3,1.3,0.05,-0.3,-0.3,Matches
507,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,26-138,1994,17.0,4,16,9,56.3,0.94,0.53,0.25,0.44,10.7,0,0,0,1.0,1.0,0.07,+3.0,+3.0,Matches
508,Martin Ødegaard\Martin-Odegaard,no NOR,MF,Arsenal,22-087,1998,3.3,0,5,1,20.0,1.53,0.31,0.00,0.00,21.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
